timestamp,size,anomaly
1739421118.937044,101,False
1739421118.93725,74,False
1739421118.937478,74,False
1739421118.938219,74,False
1739421118.971314,54,False
1739421118.987901,142,False
1739421119.017055,74,False
1739421119.017215,74,False
1739421119.017251,54,False
1739421119.017533,315,False
1739421119.070972,54,False
1739421119.083012,54,False
1739421119.127798,196,False
1739421119.132756,193,False
1739421119.132934,74,False
1739421119.134744,309,False
1739421119.134878,2734,False
1739421119.136881,1454,False
1739421119.13766,1454,False
1739421119.137805,54,False
1739421119.138229,309,False
1739421119.138341,2747,False
1739421885.690475,86,False
1739421885.708926,348,False
1739421885.72173,90,False
1739421885.721953,54,False
1739421885.740305,87,False
1739421885.740661,67,False
1739421885.742038,363,False
1739421885.783095,120,False
1739421885.857705,42,False
1739421885.857841,54,False
1739421885.857902,78,False
1739421885.857927,78,False
1739421885.857949,78,False
1739421885.858024,62,False
1739421885.858063,150,False
1739421885.934116,86,False
1739421885.934496,86,False
1739421885.936482,142,False
1739421885.941016,42,False
1739421885.9432,42,False
1739421886.027878,42,False
1739435368.09448,74,False
1739435368.094634,74,False
1739435368.099911,1294,False
1739435368.100279,672,False
1739435368.100376,74,False
1739435368.101329,1294,False
1739435368.10158,1294,False
1739435368.101691,74,False
1739435368.118873,1294,False
1739435368.119129,1294,False
1739435368.119267,74,False
1739435368.163439,1186,False
1739435368.163535,296,False
1739435368.16368,74,False
1739435368.203423,1294,False
1739435368.206178,1294,False
1739435368.206261,74,False
1739435368.206313,198,False
1739435368.20647,101,False
1739435368.206509,74,False
1739435368.206906,74,False
1739435368.26969,74,False
1739435368.269888,74,False
1739435375.410766,89,False
1739435375.672387,216,False
1739435375.676918,100,False
1739435375.737575,54,False
1739435375.74024,54,False
1739435379.027201,86,False
1739435379.256528,86,False
1739435379.256728,74,False
1739435379.257426,591,False
1739435379.409309,148,False
1739435379.409426,93,False
1739435379.44173,148,False
1739435379.479889,74,False
1739435379.513307,1294,False
1739435379.530189,1294,False
1739435379.530386,74,False
1739435379.530506,1294,False
1739435379.559405,536,False
1739435379.559506,74,False
1739435379.560265,154,False
1739435379.560551,241,False
1739435379.876129,424,False
1739435379.876237,93,False
1739435379.876292,54,False
1739435379.876355,74,False
1739435379.877907,147,False
1739435379.877996,1823,False
1739435379.94464,74,False
1739435380.025091,423,False
1739435380.026749,143,False
1739435380.026838,628,False
1739435380.282655,89,False
1739435380.287181,86,False
1739435380.287244,86,False
1739435380.328525,54,False
